total_transactions,num_deposit,num_borrow,num_repay,num_redeem,num_liquidation,total_usd_deposit,total_usd_borrow,total_usd_repay,wallet,avg_tx_interval,repay_borrow_ratio
1,1,0,0,0,0,1.9876636548592717e-09,0.0,0.0,0x00000000001accfa9cef68cf5371a23025b6d4b6,0.0,0.0
1,1,0,0,0,0,285.69448036149265,0.0,0.0,0x000000000051d07a4fb3bd10121a343d85818da6,0.0,0.0
2,2,0,0,0,0,0.005152310624158186,0.0,0.0,0x000000000096026fb41fc39f9875d164bd82e2dc,654405.0,0.0
17,0,0,0,17,0,0.0,0.0,0.0,0x0000000000e189dd664b9ab08a33c4839953852c,698369.9375,0.0
399,250,15,4,130,0,206577.33084285245,60297.62086214079,7.015026379074076e-08,0x0000000002032370b971dabd36d72f3e5a7bf1ee,28843.251256281408,1.163400193701277e-12
25,7,8,5,5,0,18390.665686010514,1.1631431210321323e-08,1.1640280239622172e-08,0x000000000a38444e0a6e37d3b630d7e855a7cb13,141408.625,1.0007607859377612
8,8,0,0,0,0,0.076376315604972,0.0,0.0,0x000000003853fcedcd0355fec98ca3192833f00b,97375.28571428571,0.0
492,309,30,16,137,0,458586.19827629055,132415.7609026383,339.8128730609445,0x000000003ce0cf2c037493b1dc087204bd7f713e,21732.24032586558,0.002566256997992857
1,1,0,0,0,0,0.14216066648145406,0.0,0.0,0x000000007858e6f2668e1e06111cfa24403a5466,0.0,0.0
1,1,0,0,0,0,1.7666525037857387e-12,0.0,0.0,0x00000001a0f57e850c9db68b4a9bc34677437c5c,0.0,0.0
69,26,24,9,10,0,799991.6941682949,597501.9617796154,597568.679828446,0x0000000506063a51c6ce59906d8c40f7d7fe92a7,38951.39705882353,1.000111661639791
47,12,12,12,11,0,3254660.503465466,1759512.5948094137,1743593.934185973,0x00000029ff545c86524ade7caf132527707948c4,3952.8260869565215,0.990952800979998
250,86,62,45,57,0,22169.199416626405,23164.201034194215,1199.1513226122327,0x00000087c4cebffb95746d1935de7fbcab092f40,34874.815261044176,0.05176743721236428
297,107,66,63,61,0,3134059.6137622064,2559678.8392218025,1852344.0568145649,0x000000e28faa823d5b53ff6c2922c28335840375,40049.32094594595,0.7236626831582189
28,11,4,1,9,3,42849.15292921577,23007.05925998673,23151.274780815504,0x000006eee6e39015cb523aebdd4d0b1855aba682,132142.14814814815,1.0062683161371948
1,1,0,0,0,0,1.6927543127773314e-12,0.0,0.0,0x00000a9c78912badb92d73b6ed26456e11def5eb,0.0,0.0
4,0,0,0,4,0,0.0,0.0,0.0,0x00001bc47f0973f794f79c16121cee879e272d6a,1353723.6666666667,0.0
147,27,47,45,28,0,2293729.4172388543,617898.1819947748,427147.7856461841,0x00002b503a75998c97508916a74fdb41934fa030,74162.88356164383,0.6912915397601804
2,1,0,0,1,0,466.1857620663897,0.0,0.0,0x0000897253cc85f7547317eb2080b36b3255687a,303662.0,0.0
1,1,0,0,0,0,1.116218296466259e-12,0.0,0.0,0x0000b252c943089fbba5554a1d196ef79bc77e4f,0.0,0.0
14,3,1,0,10,0,1.9674760471323292,1257.9326580280358,0.0,0x0000ce08fa224696a819877070bf378e8b131acf,503645.07692307694,0.0
29,9,6,7,7,0,1143.529118181716,302.68740162206376,302.3626743599302,0x00010a708585ba4812a1c5976182626c75cb7a6b,245363.25,0.9989271860659104
